TT,Mã ngành,Tên ngành,Điểm chuẩn Điểm thi tốt nghiệp THPT,"Điểm chuẩn HB cả năm lớp 10, 11 & HK1 lớp 12",Điểm chuẩn HB cả năm lớp 12,Điểm chuẩn ĐGNL ĐHQG-HCM năm 2022,Điểm chuẩn xét tuyển thẳng theo đề án riêng
1,7480202,An toàn thông tin,"22,25","21,25","23,00",600,"24,00"
2,7480201,Công nghệ thông tin,"23,50","25,00","26,50",700,"24,00"
3,7540204,"Công nghệ dệt, may","19,75","20,00","21,00",600,"24,00"
4,7340123,Kinh doanh thời trang và Dệt may,"19,75","20,00","21,00",600,"24,00"
5,7510202,Công nghệ chế tạo máy,"17,25","20,00","22,50",600,"24,00"
6,7510402,Công nghệ vật liệu,"16,00","20,00","20,00",600,"24,00"
7,7520115,Kỹ thuật nhiệt,"17,50","20,00","20,00",600,"24,00"
8,7510203,Công nghệ kỹ thuật cơ điện tử,"21,00","21,25","23,00",600,"24,00"
9,7510301,Công nghệ kỹ thuật Điện - Điện tử,"21,00","21,25","23,50",600,"24,00"
10,7510602,Quản lý năng lượng,"16,00","20,00","20,00",600,"24,00"
11,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,"21,00","21,50","23,50",600,"24,00"
12,7510401,Công nghệ kỹ thuật hóa học,"17,25","22,25","23,00",600,"24,00"
13,7850101,Quản lý tài nguyên và môi trường,"16,00","21,00","21,00",600,"24,00"
14,7510406,Công nghệ kỹ thuật môi trường,"16,00","20,00","21,00",600,"24,00"
15,7420201,Công nghệ sinh học,"21,00","22,00","22,00",600,"24,00"
16,7540105,Công nghệ chế biến thủy sản,"16,00","20,00","20,00",600,"24,00"
17,7540101,Công nghệ thực phẩm,"22,50","27,00","27,50",750,"24,00"
18,7340129,Quản trị kinh doanh thực phẩm,"21,75","22,75","23,50",600,"24,00"
19,7540110,Đảm bảo chất lượng & ATTP,"20,50","24,00","24,50",600,"24,00"
20,7340301,Kế toán,"23,50","25,50","26,00",680,"24,00"
21,7340201,Tài chính ngân hàng,"23,50","25,50","26,50",680,"24,00"
22,7220201,Ngôn ngữ Anh,"23,50","25,50","25,75",700,"24,00"
23,7220204,Ngôn ngữ Trung Quốc,"24,00","25,50","25,75",650,"24,00"
24,7380107,Luật kinh tế,"23,00","24,50","25,25",600,"24,00"
25,7340115,Marketing,"24,00","26,50","27,50",730,"24,00"
26,7340101,Quản trị kinh doanh,"23,00","26,00","26,75",700,"24,00"
27,7340120,Kinh doanh quốc tế,"23,50","26,00","26,50",730,"24,00"
28,7810103,Quản trị dịch vụ du lịch và lữ hành,"23,00","24,00","25,00",600,"24,00"
29,7819010,Khoa học chế biến món ăn,"16,50","22,25","22,50",600,"24,00"
30,7819009,Khoa học dinh dưỡng và ẩm thực,"16,50","22,25","22,50",600,"24,00"
31,7810201,Quản trị khách sạn,"22,50","25,00","25,00",600,"24,00"
32,7810202,Quản trị nhà hàng và dịch vụ ăn uống,"22,50","24,00","24,50",600,"24,00"
