STT,Mã ngành,Tên ngành,Điểm chuẩn
1,7540101,Công nghệ thực phẩm,23
2,7540106,Đảm bảo chất lượng & ATTP,18
3,7540105,Công nghệ chế biến thủy sản,17
4,7340129,Quản trị kinh doanh thực phẩm,20
5,7340101,Quản trị kinh doanh,23
6,7340120,Kinh doanh quốc tế,23.25
7,7340115,Marketing,24.5
8,7340122,Thương mại điện tử,23.75
9,7510605,Logistic và quản lý chuỗi cung ứng,23.75
10,7340301,Kế toán,22.5
11,7340201,Tài chính ngân hàng,23
12,7340205,Công nghệ tài chính,20.75
13,7380107,Luật kinh tế,22.75
14,7510401,Công nghệ kỹ thuật hóa học,17
15,7510406,Công nghệ kỹ thuật môi trường,17
16,7850101,Quản lý tài nguyên và môi trường,17
17,7420201,Công nghệ sinh học,17.75
18,7480201,Công nghệ thông tin,23
19,7480202,An toàn thông tin,20
20,7460108,Khoa học dữ liệu,20
21,7340123,Kinh doanh thời trang và Dệt may,18
22,7540204,"Công nghệ dệt, may",17
23,7510202,Công nghệ chế tạo máy,18
24,7510203,Công nghệ kỹ thuật - cơ điện tử,18.5
25,7520115,Kỹ thuật nhiệt,17.5
26,7510301,"Công nghệ kỹ thuật Điện,Điện tử",18
27,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,18.75
28,7819009,Khoa học dinh dưỡng và ẩm thực,17
29,7819010,Khoa học chế biến món ăn,17.5
30,7810103,Quản trị dịch vụ du lịch và lữ hành,21
31,7810202,Quản trị nhà hàng và dịch vụ ăn uống,21
32,7810201,Quản trị khách sạn,21
33,7220201,Ngôn ngữ Anh,23
34,7220204,Ngôn ngữ Trung Quốc,23.25
